序号,书名,作家,译者,出版社,初版时间,定价,评分,评分人数,简述,图片链接
39,我与地坛,史铁生,,春风文艺出版社,2002-5,25.00元,9.1,85494,这是你的罪孽与福祉,https://img1.doubanio.com/view/subject/s/public/s1151479.jpg
40,万历十五年,[美] 黄仁宇,,生活·读书·新知三联书店,1997-5,18.00元,8.9,178941,见微知著，历史观的颠覆,https://img9.doubanio.com/view/subject/s/public/s1800355.jpg
41,城南旧事,林海音 文,,中国青年出版社,2003-7,16.00元,9.0,134332,长亭外，古道边，芳草碧连天,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg
42,彷徨,鲁迅,,人民文学出版社,1973-3,0.37元,9.1,51301,路漫漫其修远兮，吾将上下而求索,https://img2.doubanio.com/view/subject/s/public/s34099293.jpg
43,追风筝的人,[美] 卡勒德·胡赛尼,李继宏,上海人民出版社,2006-5,29.00元,8.9,743029,为你，千千万万遍,https://img3.doubanio.com/view/subject/s/public/s1727290.jpg
44,悉达多,[德] 赫尔曼·黑塞,姜乙,天津人民出版社,2017-1,32.00元,9.3,32416,None,https://img1.doubanio.com/view/subject/s/public/s29396368.jpg
45,刀锋,[英]毛姆,周煦良,上海译文出版社,2007-3,18.00元,9.0,76227,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://img2.doubanio.com/view/subject/s/public/s2347562.jpg
46,艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),范景中,广西美术出版社,2008-04,280.00,9.6,21922,从最早的洞窟绘画到当今的实验艺术,https://img2.doubanio.com/view/subject/s/public/s3219163.jpg
47,射雕英雄传,金庸,,生活·读书·新知三联书店,1999-04,47.00元,9.0,77073,侠之大者，为国为民,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg
48,卡拉马佐夫兄弟,[俄] 费奥多尔·陀思妥耶夫斯基,荣如德,上海译文出版社,2006-8,25.00元,9.4,24592,错综复杂的社会、家庭矛盾和人性悲剧,https://img2.doubanio.com/view/subject/s/public/s2059791.jpg
49,寻路中国,[美] 彼得·海斯勒,李雪顺,上海译文出版社,2011-1,33.00元,9.0,50511,《纽约客》驻北京记者驾车漫游中国大陆的经历,https://img1.doubanio.com/view/subject/s/public/s32271209.jpg
50,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,陈澄和,广西师范大学出版社,2015-4,36.00元,9.1,61921,当声称能改造智能的科学实验选中心智障碍主角,https://img3.doubanio.com/view/subject/s/public/s28050760.jpg
51,罗杰疑案,[英] 阿加莎·克里斯蒂,常禾,新星出版社,2013-3,28.00元,9.2,47367,None,https://img2.doubanio.com/view/subject/s/public/s25814002.jpg
52,许三观卖血记,余华,,作家出版社,2012-9,24.00元,9.0,104382,None,https://img3.doubanio.com/view/subject/s/public/s24575140.jpg
53,朝花夕拾,鲁迅,,人民文学出版社,1973-4,0.25元,8.9,129594,在纷扰中寻出一点闲静,https://img3.doubanio.com/view/subject/s/public/s34099290.jpg
54,嫌疑人X的献身,[日] 东野圭吾,刘子倩,南海出版公司,2008-9,28.00,8.9,483873,数学好是一种极致的浪漫,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg
55,格林童话全集,[德国]格林兄弟,魏以新,人民文学出版社,1994-11,21.45元,9.0,85828,一本有教育意义的书,https://img9.doubanio.com/view/subject/s/public/s1043975.jpg
56,故事新编,鲁迅,,人民文学出版社,1973-12-01,0.31 元,9.4,31103,拾取古代传说，取一点因由，随意点染,https://img1.doubanio.com/view/subject/s/public/s34099297.jpg
57,树上的男爵,[意] 伊塔洛·卡尔维诺,吴正仪,译林出版社,2012-4-1,30.00元,9.1,43447,是不是真的只有先与人疏离，才能最终与他们在一起？,https://img9.doubanio.com/view/subject/s/public/s8968135.jpg
58,无人生还,[英] 阿加莎・克里斯蒂,祁阿红,人民文学出版社,2008-3,19.00,8.9,129467,童谣杀人案,https://img3.doubanio.com/view/subject/s/public/s2962510.jpg
59,黄金时代,王小波,,花城出版社,1999-3,19.00元,8.9,151963,我想爱，想吃，还想在一瞬间变成天上半明半暗的云,https://img2.doubanio.com/view/subject/s/public/s1076372.jpg
60,傲慢与偏见,[英] 奥斯丁,张玲,人民文学出版社,1993-7,13.00元,8.9,217000,所有现代言情小说的母体,https://img2.doubanio.com/view/subject/s/public/s4250062.jpg
